# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
78.5          	GAMG	3.711250e-01	2.886900e-03	2	true
79            	GAMG	3.680290e-01	2.245970e-03	2	true
79.5          	GAMG	3.847960e-01	2.375830e-03	2	true
80            	GAMG	4.016480e-01	2.286430e-03	2	true
80.5          	GAMG	4.191640e-01	2.688170e-03	2	true
81            	GAMG	4.338790e-01	2.439010e-03	2	true
81.5          	GAMG	4.561140e-01	4.305160e-03	2	true
82            	GAMG	4.538910e-01	4.021780e-03	2	true
82.5          	GAMG	4.561970e-01	2.101060e-03	2	true
83            	GAMG	4.307390e-01	2.541460e-03	2	true
83.5          	GAMG	4.477850e-01	3.062720e-03	2	true
84            	GAMG	4.474810e-01	2.187950e-03	2	true
84.5          	GAMG	4.753770e-01	1.906060e-03	3	true
85            	GAMG	4.477740e-01	3.060120e-03	2	true
85.5          	GAMG	4.187820e-01	3.469270e-03	2	true
86            	GAMG	4.535530e-01	4.109700e-03	2	true
86.5          	GAMG	4.411410e-01	2.475150e-03	2	true
87            	GAMG	4.552250e-01	4.472870e-03	2	true
87.5          	GAMG	4.226780e-01	2.011210e-03	2	true
88            	GAMG	4.418520e-01	2.922720e-03	2	true
88.5          	GAMG	4.633720e-01	3.012870e-03	2	true
89            	GAMG	5.156570e-01	4.679950e-03	2	true
89.5          	GAMG	4.785670e-01	2.335770e-03	2	true
90            	GAMG	4.972660e-01	2.106160e-03	2	true
90.5          	GAMG	5.388090e-01	3.760310e-03	2	true
91            	GAMG	5.137800e-01	1.663240e-03	2	true
91.5          	GAMG	5.258280e-01	2.499630e-03	2	true
92            	GAMG	5.453360e-01	2.010130e-03	2	true
92.5          	GAMG	5.041590e-01	1.836120e-03	2	true
93            	GAMG	5.049150e-01	2.892630e-03	2	true
93.5          	GAMG	5.083180e-01	2.281820e-03	2	true
94            	GAMG	5.352400e-01	2.747440e-03	2	true
94.5          	GAMG	5.580310e-01	2.706840e-03	2	true
95            	GAMG	5.405000e-01	2.852960e-03	2	true
95.5          	GAMG	5.315260e-01	2.508480e-03	2	true
96            	GAMG	5.418070e-01	2.607890e-03	2	true
96.5          	GAMG	5.397480e-01	2.099020e-03	2	true
97            	GAMG	5.122120e-01	3.844130e-03	2	true
97.5          	GAMG	5.381160e-01	2.104930e-03	2	true
98            	GAMG	5.145630e-01	2.506530e-03	2	true
98.5          	GAMG	5.237760e-01	1.765150e-03	2	true
99            	GAMG	5.781440e-01	2.782170e-03	2	true
99.5          	GAMG	5.966120e-01	1.445420e-03	2	true
100           	GAMG	5.668570e-01	2.208890e-03	2	true
100.5         	GAMG	5.461900e-01	3.262390e-03	2	true
101           	GAMG	5.540680e-01	2.406690e-03	2	true
101.5         	GAMG	5.796080e-01	1.815580e-03	2	true
102           	GAMG	5.665920e-01	1.896150e-03	2	true
102.5         	GAMG	5.708110e-01	2.672660e-03	2	true
103           	GAMG	5.762390e-01	1.769260e-03	2	true
103.5         	GAMG	5.370080e-01	1.461690e-03	2	true
104           	GAMG	5.601040e-01	1.185490e-03	2	true
104.5         	GAMG	5.912510e-01	1.591220e-03	2	true
105           	GAMG	5.739470e-01	2.577150e-03	2	true
105.5         	GAMG	5.175780e-01	2.093360e-03	2	true
106           	GAMG	5.377660e-01	2.556300e-03	2	true
106.5         	GAMG	5.438650e-01	2.574780e-03	2	true
107           	GAMG	5.546470e-01	2.036140e-03	2	true
107.5         	GAMG	5.444700e-01	1.975490e-03	2	true
108           	GAMG	5.455330e-01	3.238540e-03	2	true
108.5         	GAMG	5.727820e-01	3.382890e-03	2	true
109           	GAMG	5.719500e-01	2.392380e-03	2	true
109.5         	GAMG	5.838990e-01	3.316270e-03	2	true
110           	GAMG	5.666010e-01	2.205120e-03	2	true
110.5         	GAMG	5.432140e-01	3.327770e-03	2	true
111           	GAMG	5.761270e-01	2.819140e-03	2	true
111.5         	GAMG	5.706520e-01	1.996860e-03	2	true
112           	GAMG	5.483870e-01	2.369000e-03	2	true
112.5         	GAMG	5.202340e-01	2.749390e-03	2	true
113           	GAMG	5.398440e-01	1.901270e-03	2	true
113.5         	GAMG	5.734710e-01	2.605650e-03	2	true
114           	GAMG	5.310860e-01	2.285810e-03	2	true
114.5         	GAMG	5.061120e-01	1.788060e-03	2	true
115           	GAMG	5.209530e-01	2.117170e-03	2	true
115.5         	GAMG	5.959610e-01	1.873550e-03	2	true
116           	GAMG	5.451430e-01	2.172460e-03	2	true
116.5         	GAMG	5.203200e-01	2.219180e-03	2	true
117           	GAMG	5.512580e-01	2.333190e-03	2	true
117.5         	GAMG	5.301570e-01	2.091140e-03	2	true
118           	GAMG	5.303260e-01	2.203280e-03	2	true
118.5         	GAMG	5.140170e-01	2.375800e-03	2	true
119           	GAMG	5.213450e-01	2.060510e-03	2	true
119.5         	GAMG	4.937920e-01	2.575580e-03	2	true
120           	GAMG	5.196030e-01	1.944280e-03	2	true
120.5         	GAMG	5.362750e-01	2.267810e-03	2	true
121           	GAMG	5.081520e-01	2.459450e-03	2	true
121.5         	GAMG	5.243010e-01	1.941390e-03	2	true
122           	GAMG	5.199170e-01	1.677090e-03	2	true
122.5         	GAMG	5.393220e-01	1.571720e-03	2	true
123           	GAMG	5.498030e-01	2.003330e-03	2	true
123.5         	GAMG	5.259190e-01	2.346250e-03	2	true
124           	GAMG	5.345740e-01	1.920380e-03	2	true
124.5         	GAMG	5.279480e-01	1.868060e-03	2	true
125           	GAMG	5.207150e-01	2.306440e-03	2	true
125.5         	GAMG	5.292090e-01	2.013410e-03	2	true
126           	GAMG	5.148090e-01	1.888160e-03	2	true
126.5         	GAMG	4.833590e-01	1.429210e-03	2	true
127           	GAMG	4.904990e-01	2.531900e-03	2	true
127.5         	GAMG	4.897280e-01	1.986700e-03	2	true
128           	GAMG	5.026100e-01	2.530810e-03	2	true
128.5         	GAMG	5.181320e-01	1.742950e-03	2	true
129           	GAMG	5.548410e-01	2.237410e-03	2	true
129.5         	GAMG	5.055500e-01	1.634330e-03	2	true
130           	GAMG	4.783460e-01	1.987060e-03	2	true
130.5         	GAMG	5.136010e-01	1.537250e-03	2	true
131           	GAMG	5.214250e-01	2.094360e-03	2	true
131.5         	GAMG	4.927200e-01	1.559730e-03	2	true
132           	GAMG	4.878070e-01	1.505030e-03	2	true
132.5         	GAMG	5.494360e-01	1.526450e-03	2	true
133           	GAMG	5.150090e-01	1.610630e-03	2	true
133.5         	GAMG	5.695050e-01	1.619830e-03	2	true
134           	GAMG	5.252210e-01	2.002840e-03	2	true
134.5         	GAMG	5.560930e-01	2.183260e-03	2	true
135           	GAMG	5.313080e-01	1.723190e-03	2	true
135.5         	GAMG	5.413230e-01	1.827430e-03	2	true
136           	GAMG	5.527100e-01	1.845400e-03	2	true
136.5         	GAMG	5.406730e-01	1.348560e-03	2	true
137           	GAMG	5.557880e-01	1.768200e-03	2	true
137.5         	GAMG	5.572930e-01	2.437630e-03	2	true
138           	GAMG	5.700030e-01	1.505860e-03	2	true
138.5         	GAMG	5.601970e-01	2.017760e-03	2	true
139           	GAMG	5.629740e-01	1.609790e-03	2	true
139.5         	GAMG	5.384600e-01	2.987250e-03	2	true
140           	GAMG	5.374270e-01	1.841320e-03	2	true
140.5         	GAMG	5.332440e-01	1.706490e-03	2	true
141           	GAMG	5.238860e-01	1.801230e-03	2	true
141.5         	GAMG	5.125850e-01	1.595730e-03	2	true
142           	GAMG	5.304970e-01	2.054840e-03	2	true
142.5         	GAMG	4.805580e-01	2.310810e-03	2	true
143           	GAMG	5.602730e-01	2.590640e-03	2	true
143.5         	GAMG	5.389110e-01	2.453790e-03	2	true
144           	GAMG	5.075790e-01	2.505910e-03	2	true
