# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
149           	GAMG	6.972690e-03	1.448020e-05	3	true
150           	GAMG	6.986510e-03	1.489130e-05	3	true
151           	GAMG	6.985760e-03	1.520790e-05	3	true
152           	GAMG	7.005170e-03	1.533790e-05	3	true
153           	GAMG	6.982240e-03	1.639050e-05	3	true
154           	GAMG	6.980300e-03	1.720590e-05	3	true
155           	GAMG	7.050100e-03	1.764330e-05	3	true
156           	GAMG	7.078420e-03	1.820940e-05	3	true
157           	GAMG	7.164470e-03	1.857120e-05	3	true
158           	GAMG	7.245440e-03	1.885420e-05	3	true
159           	GAMG	7.317320e-03	1.948040e-05	3	true
160           	GAMG	7.323750e-03	1.999790e-05	3	true
161           	GAMG	7.321600e-03	1.993340e-05	3	true
162           	GAMG	7.343690e-03	1.995500e-05	3	true
163           	GAMG	7.368880e-03	1.962410e-05	3	true
164           	GAMG	7.351990e-03	1.926850e-05	3	true
165           	GAMG	7.345190e-03	1.895180e-05	3	true
166           	GAMG	7.355400e-03	1.849040e-05	3	true
167           	GAMG	7.348990e-03	1.754620e-05	3	true
168           	GAMG	7.371010e-03	1.697110e-05	3	true
169           	GAMG	7.363840e-03	1.657740e-05	3	true
170           	GAMG	7.371060e-03	1.588120e-05	3	true
171           	GAMG	7.361610e-03	1.568850e-05	3	true
172           	GAMG	7.335300e-03	1.554200e-05	3	true
173           	GAMG	7.316980e-03	1.504510e-05	3	true
174           	GAMG	7.253380e-03	1.507620e-05	3	true
175           	GAMG	7.145450e-03	1.477440e-05	3	true
176           	GAMG	6.997610e-03	1.477920e-05	3	true
177           	GAMG	6.909690e-03	1.521580e-05	3	true
178           	GAMG	6.822950e-03	1.522920e-05	3	true
179           	GAMG	6.734000e-03	1.489540e-05	3	true
180           	GAMG	6.668740e-03	1.480110e-05	3	true
181           	GAMG	6.596480e-03	1.469740e-05	3	true
182           	GAMG	6.527420e-03	1.417340e-05	3	true
183           	GAMG	6.476240e-03	1.383550e-05	3	true
184           	GAMG	6.412840e-03	1.414070e-05	3	true
185           	GAMG	6.380100e-03	1.430030e-05	3	true
186           	GAMG	6.341210e-03	1.414360e-05	3	true
187           	GAMG	6.271990e-03	1.474110e-05	3	true
188           	GAMG	6.251710e-03	1.482850e-05	3	true
